Species,Family,MaxSizeTL,MaxSizeTL_Prod,Diet,Position
Mulloidichthys flavolineatus,Mullidae,40,43,InvMob,BtPlDw
Myripristis vittata,Holocentridae,25,25,InvMob,BtPlDw
Naso annulatus,Acanthuridae,100,100,Plktiv,PelgDw
Naso brachycentron,Acanthuridae,100,105,HerMac,BtPlDw
Naso hexacanthus,Acanthuridae,80,79,Plktiv,PelgDw
Naso lituratus,Acanthuridae,60,60,HerMac,BtPlDw
Naso unicornis,Acanthuridae,70,74,HerMac,BtPlDw
Naso vlamingii,Acanthuridae,60,60,Plktiv,BtPlDw
Ostracion meleagris,Ostraciidae,25,25,InvSes,BtPlDw
Oxycheilinus digramma,Labridae,50,48,FisCep,BtPlDw
Oxymonacanthus longirostris,Monacanthidae,10,12,InvSes,BnthDw
Paracirrhites arcatus,Cirrhitidae,15,14,InvMob,BnthDw
Paracirrhites forsteri,Cirrhitidae,20,22,FisCep,BnthDw
Parapercis millepunctata,Pinguipedidae,20,18,InvMob,BnthAs
Parupeneus barberinus,Mullidae,60,60,InvMob,BnthDw
Parupeneus bifasciatus,Mullidae,35,35,InvMob,BnthDw
Parupeneus cyclostomus,Mullidae,50,50,FisCep,BnthDw
Parupeneus macronemus,Mullidae,40,40,InvMob,BnthDw
Parupeneus trifasciatus,Mullidae,35,35,InvMob,BnthDw
Platax orbicularis,Ephippidae,50,50,Omnivr,BtPlAs
Plectorhinchus orientalis,Haemulidae,80,81,InvMob,BtPlDw
Plectroglyphidodon dickii,Pomacentridae,10,11,Omnivr,BnthDw
Plectroglyphidodon johnstonianus,Pomacentridae,15,14,Omnivr,BnthDw
Plectroglyphidodon lacrymatus,Pomacentridae,10,10,Omnivr,BnthDw
Plectropomus areolatus,Serranidae,80,80,FisCep,BnthDw
Plectropomus laevis,Serranidae,120,125,FisCep,BnthDw
Pomacanthus imperator,Pomacanthidae,50,47,InvSes,BtPlDw
Pomacentrus caeruleus,Pomacentridae,10,10,Omnivr,BnthDw
Pomacentrus indicus,Pomacentridae,10,11,HerDet,BnthDw
Pomacentrus taeniometopon,Pomacentridae,10,12,HerDet,BnthDw
Pomacentrus wardi,Pomacentridae,10,10,HerDet,BnthDw
Pseudocheilinus hexataenia,Labridae,10,10,InvMob,BnthDw
Pygoplites diacanthus,Pomacanthidae,30,31,InvSes,BtPlDw
Sargocentron spiniferum,Holocentridae,50,54,InvMob,BtPlDw
Scarus caudofasciatus,Scaridae,50,50,HerDet,BtPlDw
Scarus falcipinnis,Scaridae,60,60,HerDet,BtPlDw
Scarus frenatus,Scaridae,50,47,HerDet,BtPlDw
Scarus ghobban,Scaridae,80,75,HerDet,BtPlDw
Scarus globiceps,Scaridae,50,45,HerDet,BtPlDw
Scarus niger,Scaridae,40,40,HerDet,BtPlDw
Scarus prasiognathos,Scaridae,70,70,HerDet,BtPlDw
Scarus psittacus,Scaridae,35,35,HerDet,BtPlDw
Scarus rubroviolaceus,Scaridae,70,70,HerDet,BtPlDw
Scarus scaber,Scaridae,35,37,HerDet,BtPlDw
Scarus tricolor,Scaridae,35,37,HerDet,BtPlDw
Scomberoides lysan,Carangidae,120,110,FisCep,PelgAs
Siganus argenteus,Siganidae,40,40,HerDet,BtPlDw
Stegastes fasciolatus,Pomacentridae,15,16,HerDet,BnthDw
Stegastes gascoynei,Pomacentridae,15,15,HerDet,BnthDw
Stegastes lividus,Pomacentridae,10,11,HerDet,BnthDw
Stegastes nigricans,Pomacentridae,15,14,Omnivr,BnthDw
Stethojulis albovittata,Labridae,15,14,InvMob,BnthDw
Stethojulis strigiventer,Labridae,15,15,InvMob,BnthDw
Sufflamen bursa,Balistidae,25,25,InvMob,BtPlDw
Sufflamen chrysopterum,Balistidae,30,30,InvMob,BtPlDw
