ID,Taxon,Weight_N,N15,PercentN,Weight_C,C13,PercentC,QC_N,QC_C,CN,L,C13_LF
s115,Inv,0.551,8.5,0.092,0.422,-16.8,0.343,,,3.72826087,11.57477303,-17.13485809
s116,Inv,0.62,9.6,0.092,0.3255,-16.7,0.371,,,4.032608696,16.58394513,-16.66372319
s117,Inv,0.5455,11.9,0.108,0.4445,-15.2,0.468,,,4.333333333,20.96281952,-14.84917793
s118,Inv,1.948,9.5,0.012,0.547,-8.7,0.116,,,9.666666667,57.27199385,-6.04925043
s119,Inv,2.193,9.1,0.013,0.578,-9.6,0.101,,,7.769230769,49.46537755,-7.401854559
s120,Inv,2.1525,9.3,0.017,0.5965,-8,0.109,,,6.411764706,41.39909919,-6.292116997
s121,Inv,1.968,9.5,0.006,0.6855,-6.7,0.088,LOW AMP 28,,14.66666667,,
s122,Inv,0.566,6.6,0.048,0.5805,-14.6,0.175,,,3.645833333,10.10306407,-15.04627714
s123,Inv,0.6135,11,0.081,0.66,-16.3,0.298,,,3.679012346,10.70181246,-16.70081462
s124,Inv,0.586,7.2,0.059,0.6055,-16.2,0.237,,,4.016949153,16.34129679,-16.18141877
s039,Fish,0.5315,9.6,0.122,0.5315,-19.4,0.416,,,3.409836066,,
s045,Fish,0.5275,9.6,0.113,0.5275,-14.9,0.385,,,3.407079646,,
s126,Fish,0.5815,9.6,0.112,0.5815,-19.7,0.404,,,3.607142857,,
s128,Fish,0.5335,9.6,0.11,0.5335,-19.4,0.401,,,3.645454545,,
s174,Fish,0.577,9.6,0.122,0.577,-20.1,0.422,,,3.459016393,,
s175,Fish,0.509,9.6,0.12,0.509,-19.5,0.412,,,3.433333333,,
s125,Inv,0.506,6.7,0.06,0.546,-16.2,0.301,,,5.016666667,29.26207936,-15.27692014
s126,Inv,0.659,8.9,0.06,0.563,-18.9,0.32,,,5.333333333,32.49251789,-17.76221056
s127,Inv,0.591,9,0.073,0.5535,-16.5,0.37,,,5.068493151,29.814184,-15.53991455
s128,Inv,0.557,9.6,0.104,0.4775,-18.2,0.361,,,3.471153846,6.801400995,-18.90029808
s129,Inv,0.5135,7.7,0.06,0.4555,-18.6,0.295,,,4.916666667,28.16904845,-17.75056451
s130,Inv,0.6495,9.8,0.086,0.524,-16.8,0.278,,,3.23255814,1.842234836,-17.89275488
s131,Inv,0.599,7.6,0.038,0.496,-18.2,0.17,,,4.473684211,22.83918999,-17.71711476
s132,Inv,0.596,7.3,0.042,0.5055,-17.5,0.252,,,6,38.32627866,-15.98527551
s133,Inv,0.5095,7.8,0.05,0.655,-16.1,0.184,,,3.68,10.71950313,-16.49947416
s134,Inv,0.637,7.7,0.034,0.5425,-18,0.213,,,6.264705882,40.3421263,-16.3581495
s135,Inv,0.586,7.9,0.038,0.647,-18.3,0.172,,,4.526315789,23.51787189,-17.76974065
s136,Inv,0.561,8.1,0.056,0.544,-18,0.226,,,4.035714286,16.63188457,-17.96023047
s096,Fish,0.5205,9.5,0.124,0.5205,-19.9,0.411,,,3.314516129,,
s097,Fish,0.544,9.5,0.133,0.544,-20.6,0.456,,,3.428571429,,
s127,Fish,0.5035,9.5,0.097,0.5035,-20.5,0.429,,,4.422680412,,
s178,Fish,0.56,9.5,0.129,0.56,-19.8,0.449,,,3.480620155,,
s137,Inv,0.659,7.6,0.042,0.51,-17.4,0.248,,,5.904761905,37.56271822,-15.93384051
s138,Inv,0.6075,5.8,0.037,0.493,-16.9,0.166,,,4.486486486,23.00549216,-16.40548716
s139,Inv,0.5135,5.7,0.038,0.578,-17.3,0.187,,,4.921052632,28.21777387,-16.44727069
s140,Inv,0.6185,6.5,0.039,0.583,-17.2,0.17,,,4.358974359,21.31307441,-16.82440418
s141,Inv,1.9355,10.1,0.004,0.5245,-22.9,0.059,LOW AMP 28,,14.75,,
s142,Inv,2.0305,10.5,0.012,0.4745,-19.8,0.06,,,5,29.08247423,-18.8889863
s143,Inv,1.9995,10.4,0.004,0.5525,-10.4,0.096,LOW AMP 28,,24,,
s136,Fish,0.5265,9.4,0.122,0.5265,-20.5,0.417,,,3.418032787,,
s165,Fish,0.517,9.4,0.117,0.517,-20.1,0.412,,,3.521367521,,
s177,Fish,0.557,9.4,0.119,0.557,-19.8,0.415,,,3.487394958,,
s144,Inv,1.919,8.8,0.012,0.537,-10.3,0.093,,,7.75,49.3687544,-8.1075881
s145,Inv,0.115,NA,NA,NA,NA,NA,no enough for detection,,#VALUE!,,
s146,Inv,2.1265,9.3,0.007,0.581,-12.3,0.08,,,11.42857143,62.37191249,-9.364495455
s147,Inv,1.9265,8.9,0.008,0.5785,-14.5,0.084,,,10.5,59.88034188,-11.70256671
s148,Inv,0.577,10.7,0.075,0.513,-14.5,0.291,,,3.88,14.15169397,-14.64238925
s149,Inv,0.5955,7.9,0.076,0.5885,-16,0.278,,,3.657894737,10.32172937,-16.42965282
s150,Inv,2.095,10.2,0.01,0.546,-22.1,0.141,,,14.1,67.82131254,-18.86927343
s151,Inv,0.5435,7.9,0.05,0.6385,-17.5,0.203,,,4.06,17.00470681,-17.43310533
s152,Inv,0.513,7.2,0.04,0.6435,-15.2,0.137,,,3.425,5.884642406,-15.97184687
s153,Inv,0.647,6.5,0.038,0.547,-13.1,0.153,,,4.026315789,16.4866199,-13.07081742
s154,Inv,0.604,6.9,0.054,0.6335,-15.1,0.142,,,2.62962963,-13.6649675,-17.51184726
s155,Inv,0.6125,7.4,0.055,0.49,-14.9,0.153,,,2.781818182,-9.273408914,-16.92333595
